Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
WP5-33A	AlWajh	Pocillopora	WP	5	33	A	0.521
WP6-33A	AlWajh	Pocillopora	WP	6	33	A	0.543
WP7-33A	AlWajh	Pocillopora	WP	7	33	A	0.576
WP1-33B	AlWajh	Pocillopora	WP	1	33	B	0.548
WP2-33B	AlWajh	Pocillopora	WP	2	33	B	0.624
WP3-33B	AlWajh	Pocillopora	WP	3	33	B	0.563
WP4-33B	AlWajh	Pocillopora	WP	4	33	B	0.623
WP5-33B	AlWajh	Pocillopora	WP	5	33	B	0.49
WP6-33B	AlWajh	Pocillopora	WP	6	33	B	0.558
WP7-33B	AlWajh	Pocillopora	WP	7	33	B	0.621
WP1-36A	AlWajh	Pocillopora	WP	1	36	A	0.382
WP2-36A	AlWajh	Pocillopora	WP	2	36	A	0.31
WP3-36A	AlWajh	Pocillopora	WP	3	36	A	0.262
WP4-36A	AlWajh	Pocillopora	WP	4	36	A	0.399
WP5-36A	AlWajh	Pocillopora	WP	5	36	A	0.456
WP6-36A	AlWajh	Pocillopora	WP	6	36	A	0.359
WP7-36A	AlWajh	Pocillopora	WP	7	36	A	0.391
WP1-36B	AlWajh	Pocillopora	WP	1	36	B	0.396
WP2-36B	AlWajh	Pocillopora	WP	2	36	B	0.296
WP3-36B	AlWajh	Pocillopora	WP	3	36	B	0.18
WP4-36B	AlWajh	Pocillopora	WP	4	36	B	0.222
WP5-36B	AlWajh	Pocillopora	WP	5	36	B	0.275
WP6-36B	AlWajh	Pocillopora	WP	6	36	B	0.343
WP7-36B	AlWajh	Pocillopora	WP	7	36	B	0.391
WP1-39A	AlWajh	Pocillopora	WP	1	39	A	0
WP2-39A	AlWajh	Pocillopora	WP	2	39	A	0.064
WP3-39A	AlWajh	Pocillopora	WP	3	39	A	0.073
WP4-39A	AlWajh	Pocillopora	WP	4	39	A	0.01
WP5-39A	AlWajh	Pocillopora	WP	5	39	A	0
WP6-39A	AlWajh	Pocillopora	WP	6	39	A	0.125
WP7-39A	AlWajh	Pocillopora	WP	7	39	A	0.021
WP1-39B	AlWajh	Pocillopora	WP	1	39	B	0.043
WP2-39B	AlWajh	Pocillopora	WP	2	39	B	0.014
WP3-39B	AlWajh	Pocillopora	WP	3	39	B	0
WP4-39B	AlWajh	Pocillopora	WP	4	39	B	0
WP5-39B	AlWajh	Pocillopora	WP	5	39	B	0
WP6-39B	AlWajh	Pocillopora	WP	6	39	B	0.005
WP7-39B	AlWajh	Pocillopora	WP	7	39	B	0.117
WL1-30A	AlWajh	Porites	WL	1	30	A	0.528
WL2-30A	AlWajh	Porites	WL	2	30	A	0.586
WL3-30A	AlWajh	Porites	WL	3	30	A	0.533
WL4-30A	AlWajh	Porites	WL	4	30	A	0.466
WL5-30A	AlWajh	Porites	WL	5	30	A	0.575
WL6-30A	AlWajh	Porites	WL	6	30	A	0.566
WL7-30A	AlWajh	Porites	WL	7	30	A	0.556
WL1-30B	AlWajh	Porites	WL	1	30	B	0.563
WL2-30B	AlWajh	Porites	WL	2	30	B	0.534
WL3-30B	AlWajh	Porites	WL	3	30	B	0.5
WL4-30B	AlWajh	Porites	WL	4	30	B	0.536
WL5-30B	AlWajh	Porites	WL	5	30	B	0.594
WL6-30B	AlWajh	Porites	WL	6	30	B	0.579
WL7-30B	AlWajh	Porites	WL	7	30	B	0.589
WL1-33A	AlWajh	Porites	WL	1	33	A	0.572
WL2-33A	AlWajh	Porites	WL	2	33	A	0.551
WL3-33A	AlWajh	Porites	WL	3	33	A	0.511
WL4-33A	AlWajh	Porites	WL	4	33	A	0.526
WL5-33A	AlWajh	Porites	WL	5	33	A	0.578
WL6-33A	AlWajh	Porites	WL	6	33	A	0.588
WL7-33A	AlWajh	Porites	WL	7	33	A	0.56
WL1-33B	AlWajh	Porites	WL	1	33	B	0.586
WL2-33B	AlWajh	Porites	WL	2	33	B	0.596
WL3-33B	AlWajh	Porites	WL	3	33	B	0.578
WL4-33B	AlWajh	Porites	WL	4	33	B	0.55
WL5-33B	AlWajh	Porites	WL	5	33	B	0.595
WL6-33B	AlWajh	Porites	WL	6	33	B	0.586
WL7-33B	AlWajh	Porites	WL	7	33	B	0.577
WL1-36A	AlWajh	Porites	WL	1	36	A	0.361
WL2-36A	AlWajh	Porites	WL	2	36	A	0.37
WL3-36A	AlWajh	Porites	WL	3	36	A	0.434
WL4-36A	AlWajh	Porites	WL	4	36	A	0.387
WL5-36A	AlWajh	Porites	WL	5	36	A	0.487
WL6-36A	AlWajh	Porites	WL	6	36	A	0.441
WL7-36A	AlWajh	Porites	WL	7	36	A	0.498
WL1-36B	AlWajh	Porites	WL	1	36	B	0.465
WL2-36B	AlWajh	Porites	WL	2	36	B	0.371
WL3-36B	AlWajh	Porites	WL	3	36	B	0.488
WL4-36B	AlWajh	Porites	WL	4	36	B	0.328
WL5-36B	AlWajh	Porites	WL	5	36	B	0.519
WL6-36B	AlWajh	Porites	WL	6	36	B	0.394
WL7-36B	AlWajh	Porites	WL	7	36	B	0.512
WL1-39A	AlWajh	Porites	WL	1	39	A	0.015
WL2-39A	AlWajh	Porites	WL	2	39	A	0.114
WL3-39A	AlWajh	Porites	WL	3	39	A	0.063
WL4-39A	AlWajh	Porites	WL	4	39	A	0.034
WL5-39A	AlWajh	Porites	WL	5	39	A	0.088
WL6-39A	AlWajh	Porites	WL	6	39	A	0.014
WL7-39A	AlWajh	Porites	WL	7	39	A	0.106
WL1-39B	AlWajh	Porites	WL	1	39	B	0.004
WL2-39B	AlWajh	Porites	WL	2	39	B	0.028
WL3-39B	AlWajh	Porites	WL	3	39	B	0.027
WL4-39B	AlWajh	Porites	WL	4	39	B	0.006
WL5-39B	AlWajh	Porites	WL	5	39	B	0.085
WL6-39B	AlWajh	Porites	WL	6	39	B	0.004
WL7-39B	AlWajh	Porites	WL	7	39	B	0.089
WS1-30A	AlWajh	Stylophora	WS	1	30	A	0.479
WS2-30A	AlWajh	Stylophora	WS	2	30	A	0.432
WS3-30A	AlWajh	Stylophora	WS	3	30	A	0.422
WS4-30A	AlWajh	Stylophora	WS	4	30	A	0.447
WS5-30A	AlWajh	Stylophora	WS	5	30	A	0.404
WS6-30A	AlWajh	Stylophora	WS	6	30	A	0.485
WS7-30A	AlWajh	Stylophora	WS	7	30	A	0.566
WS1-30B	AlWajh	Stylophora	WS	1	30	B	0.467
WS2-30B	AlWajh	Stylophora	WS	2	30	B	0.505
WS3-30B	AlWajh	Stylophora	WS	3	30	B	0.534
WS4-30B	AlWajh	Stylophora	WS	4	30	B	0.517
WS5-30B	AlWajh	Stylophora	WS	5	30	B	0.498
WS6-30B	AlWajh	Stylophora	WS	6	30	B	0.461
WS7-30B	AlWajh	Stylophora	WS	7	30	B	0.474
WS1-33A	AlWajh	Stylophora	WS	1	33	A	0.543
WS2-33A	AlWajh	Stylophora	WS	2	33	A	0.41
WS3-33A	AlWajh	Stylophora	WS	3	33	A	0.439
WS4-33A	AlWajh	Stylophora	WS	4	33	A	0.385
WS5-33A	AlWajh	Stylophora	WS	5	33	A	0.421
WS6-33A	AlWajh	Stylophora	WS	6	33	A	0.529
WS7-33A	AlWajh	Stylophora	WS	7	33	A	0.544
WS1-33B	AlWajh	Stylophora	WS	1	33	B	0.49
WS2-33B	AlWajh	Stylophora	WS	2	33	B	0.543
WS3-33B	AlWajh	Stylophora	WS	3	33	B	0.539
WS4-33B	AlWajh	Stylophora	WS	4	33	B	0.398
WS5-33B	AlWajh	Stylophora	WS	5	33	B	0.527
WS6-33B	AlWajh	Stylophora	WS	6	33	B	0.479
WS7-33B	AlWajh	Stylophora	WS	7	33	B	0.645
WS1-36A	AlWajh	Stylophora	WS	1	36	A	0.288
WS2-36A	AlWajh	Stylophora	WS	2	36	A	0.351
WS3-36A	AlWajh	Stylophora	WS	3	36	A	0.246
WS4-36A	AlWajh	Stylophora	WS	4	36	A	0.422
WS5-36A	AlWajh	Stylophora	WS	5	36	A	0.127
WS6-36A	AlWajh	Stylophora	WS	6	36	A	0.163
WS7-36A	AlWajh	Stylophora	WS	7	36	A	0.439
WS1-36B	AlWajh	Stylophora	WS	1	36	B	0.405
WS2-36B	AlWajh	Stylophora	WS	2	36	B	0.274
WS3-36B	AlWajh	Stylophora	WS	3	36	B	0.248
WS4-36B	AlWajh	Stylophora	WS	4	36	B	0.34
WS5-36B	AlWajh	Stylophora	WS	5	36	B	0.389
WS6-36B	AlWajh	Stylophora	WS	6	36	B	0.159
WS7-36B	AlWajh	Stylophora	WS	7	36	B	0.386
WS1-39A	AlWajh	Stylophora	WS	1	39	A	0.004
WS2-39A	AlWajh	Stylophora	WS	2	39	A	0.027
WS3-39A	AlWajh	Stylophora	WS	3	39	A	0.085
WS4-39A	AlWajh	Stylophora	WS	4	39	A	0.047
WS5-39A	AlWajh	Stylophora	WS	5	39	A	0
WS6-39A	AlWajh	Stylophora	WS	6	39	A	0.004
WS7-39A	AlWajh	Stylophora	WS	7	39	A	0.032
WS1-39B	AlWajh	Stylophora	WS	1	39	B	0.029
WS2-39B	AlWajh	Stylophora	WS	2	39	B	0.041
WS3-39B	AlWajh	Stylophora	WS	3	39	B	0
WS4-39B	AlWajh	Stylophora	WS	4	39	B	0.033
WS5-39B	AlWajh	Stylophora	WS	5	39	B	0.029
WS6-39B	AlWajh	Stylophora	WS	6	39	B	0.04
WS7-39B	AlWajh	Stylophora	WS	7	39	B	0.035
EA1-30A	Eilat	Acropora	EA	1	30	A	0.592
EA2-30A	Eilat	Acropora	EA	2	30	A	0.566
EA3-30A	Eilat	Acropora	EA	3	30	A	0.614
EA4-30A	Eilat	Acropora	EA	4	30	A	0.566
EA5-30A	Eilat	Acropora	EA	5	30	A	0.585
EA6-30A	Eilat	Acropora	EA	6	30	A	0.616
EA7-30A	Eilat	Acropora	EA	7	30	A	0.605
EA1-30B	Eilat	Acropora	EA	1	30	B	0.626
EA2-30B	Eilat	Acropora	EA	2	30	B	0.571
EA3-30B	Eilat	Acropora	EA	3	30	B	0.65
EA4-30B	Eilat	Acropora	EA	4	30	B	0.57
EA5-30B	Eilat	Acropora	EA	5	30	B	0.566
EA6-30B	Eilat	Acropora	EA	6	30	B	0.643
EA7-30B	Eilat	Acropora	EA	7	30	B	0.609
EA1-33A	Eilat	Acropora	EA	1	33	A	0.619
EA2-33A	Eilat	Acropora	EA	2	33	A	0.515
EA3-33A	Eilat	Acropora	EA	3	33	A	0.56
EA4-33A	Eilat	Acropora	EA	4	33	A	0.562
EA5-33A	Eilat	Acropora	EA	5	33	A	0.563
EA6-33A	Eilat	Acropora	EA	6	33	A	0.586
EA7-33A	Eilat	Acropora	EA	7	33	A	0.621
EA1-33B	Eilat	Acropora	EA	1	33	B	0.588
EA2-33B	Eilat	Acropora	EA	2	33	B	0.629
EA3-33B	Eilat	Acropora	EA	3	33	B	0.652
EA4-33B	Eilat	Acropora	EA	4	33	B	0.589
EA5-33B	Eilat	Acropora	EA	5	33	B	0.546
EA6-33B	Eilat	Acropora	EA	6	33	B	0.62
EA7-33B	Eilat	Acropora	EA	7	33	B	0.59
EA1-36A	Eilat	Acropora	EA	1	36	A	0.479
EA2-36A	Eilat	Acropora	EA	2	36	A	0.424
EA3-36A	Eilat	Acropora	EA	3	36	A	0.489
EA4-36A	Eilat	Acropora	EA	4	36	A	0.411
EA5-36A	Eilat	Acropora	EA	5	36	A	0.471
EA6-36A	Eilat	Acropora	EA	6	36	A	0.453
EA7-36A	Eilat	Acropora	EA	7	36	A	0.475
EA1-36B	Eilat	Acropora	EA	1	36	B	0.545
EA2-36B	Eilat	Acropora	EA	2	36	B	0.514
EA3-36B	Eilat	Acropora	EA	3	36	B	0.504
EA4-36B	Eilat	Acropora	EA	4	36	B	0.538
EA5-36B	Eilat	Acropora	EA	5	36	B	0.471
EA6-36B	Eilat	Acropora	EA	6	36	B	0.52
EA7-36B	Eilat	Acropora	EA	7	36	B	0.404
EA1-39A	Eilat	Acropora	EA	1	39	A	0.15
EA2-39A	Eilat	Acropora	EA	2	39	A	0.033
EA3-39A	Eilat	Acropora	EA	3	39	A	0.195
EA4-39A	Eilat	Acropora	EA	4	39	A	0.123
